question1,question2,label
艾滋患者能用可善挺吗？,JUNCTURE研究,0
年轻人怎么控制高血压,20岁得了高血压怎么办？,1
TNF,种族因素是否会影响患者司库奇尤单抗治疗疗效,0
RVO专家指南,抗VEGF药物治疗nAMD和PCV相关指南及推荐级别,0
"剧烈运动后咯血,是怎么了?",剧烈运动后咯血是什么原因？,1
cva发病率,感染和慢性支气管炎是否会增加慢阻肺的风险？,0
Ribo是饭前吃还是饭后吃,Ribociclib 能否与食物同服,1
安达唐常见不良反应,安达唐的价格是多少？,0
中国人工晶体分类专家共识,增生期糖尿病视网膜病变的干预指南,0
肺炎咳嗽吃什么药好的快,什么药肺炎咳嗽吃了好的快,1
雷珠单抗中国说明书,布林佐胺溴莫尼定滴眼液,0
乳腺癌早期要做化疗吗,想了解乳腺癌早期需要化疗吗？,1
乙肝表抗阳性，是否可以注射可善挺,一图读懂｜银屑病患者肝功能异常与生物制剂管理,1
信必可都保装置怎样使用,信必可都保如何使用？,1
小孩抗肺炎支原体抗体lgm阳性怎么办,小孩抗肺炎支原体抗体lgm阳性怎么处理,1
CN-88376,哪些人属于是卵巢癌的高危人群？,0
请问心跳慢需要装心脏搏动器吗,心力衰竭为什么要用超声心动图检查,0
雷珠单抗疗效,雷珠单抗治疗RVO-ME的有效性和安全性,0
盐酸班布特罗片怎么吃,利普卓/奥拉帕利的给药方法是什么？,0
ribociclib的使用经验,如何服用 Ribociclib？,0
糖尿病口干尿频怎么办,糖尿病人尿多怎么办,1
糖尿病能喂奶吗,糖尿病可以喂奶吗,1
，心衰怎么治疗,肺心病心衰的治疗,0
感冒流鼻涕吃什么药好？,感冒流鼻涕可以吃什么药？,1
沙雷菌肺炎的症状有哪些,沙雷菌肺炎有什么症状？,1
倍缓的规格,芙仕得的规格是多少？,0
糖尿病人能做白内障手术吗,糖尿病引起的白内障怎么办？想变正常还可以吗,0
小细胞肺癌使用英飞凡剂量爬坡实验,普米克®令舒®在人体的排泄和消除途径？,0
小儿支原体肺炎的症状是什么？,小儿支原体肺炎有什么样的症状？,1
为什么高血压患者降压目标是130 80,ARNI用于老年高血压患者，有何优势？,0
儿童银屑病,FIXTURE研究,0
5岁小孩感冒流鼻涕咳嗽吃什么药物,5岁小孩咳嗽会不会引起肺炎,0
患者打完针后，脸部出现了红肿脱皮过敏现象，是正常反应吗,停药后复发的银屑病患者，再次使用司库奇尤单抗是否有效,0
2023ada指南,诺雷得治疗乳腺癌的疗效如何？,0
硝苯地平片说明书,人福尔说明书-武汉人福药业,0
司库奇尤单抗使用注意,伴有HIV患者使用司库奇尤单抗的注意事项,0
其他检查一切正常。仅自身免疫型肝病阳性的患者可以打可善挺吗？,伴有肝炎（乙肝、丙肝）感染风险的患者使用司库奇尤单抗的注意事项,1
在治疗银屑病方面，司库奇尤单抗与肿瘤坏死因子抑制剂疗效的比较,在治疗强直性脊柱炎方面，司库奇尤单抗与肿瘤坏死因子抑制剂疗效的比较,1
高血压表现,血压高的症状有哪些,1
乳腺癌中期怎么办,中期乳腺癌怎么治疗？,1
糖尿病，患者能不能吃蜂蜜？,李医生你好.请问糖尿病人能吃蜂蜜吗？,1
乳腺癌一定要切除乳房么,乳腺癌，必须切除乳房吗？,1
tspot阳性,合并结核/潜伏性结核的患者使用司库奇尤单抗的注意事项,1
富露施与糜蛋白酶的区别,布地格福吸入气雾剂有哪些规格？,0
司库奇尤单抗的稳定性,银屑病患者如何更换生物制剂,0
骨瘤,在治疗强直性脊柱炎方面，司库奇尤单抗与肿瘤坏死因子抑制剂疗效的比较,0
乳腺癌脑转移放疗后复发可以治吗,乳腺癌做完手术后还会复发吗？,0
请问糖尿病足是什么症状啊？,糖尿病足症状有哪些,1
治疗过敏性哮喘吃什么药好?,治疗过敏性哮喘的药哪些疗效好,1
请问孕妇感冒能吃什么药？,孕妇咳嗽发热吃什么药,0
crvo,雷珠单抗治疗继发于视网膜静脉阻塞的黄斑水肿用法用量,0
纹身会不会感染艾滋,有纹身感染艾滋病的案例吗,1
瑞波西利为什么要用三周停一周,NATALEE 研究中，Ribociclib如何使用,1
安达唐在心内科优势病人画像,安达唐何时获批？,0
新冠肺炎患者怎么使用普米克令舒,普米克®令舒®治疗支气管哮喘的作用机制是什么？,0
雷珠单抗单眼注射和双眼注射对比的相关研究,玻璃体注射可否进行双侧注射,1
沙丁胺醇气雾剂有什么副作用的吗,喷沙丁胺醇气雾剂的副作用有哪些,1
与其它生物制剂同时使用的有限数据（度普利尤单抗、奥马珠单抗、PD-1抑制剂),与其它生物制剂同时使用的有限数据（度普利尤单抗、奥马珠单抗、PD-1抑制剂）,1
肺癌术后辅助治疗可以用靶向药吗？,肺癌靶向药要用多久,0
Protacol T,雷珠单抗性状,0
我是否以患糖尿病.,是否是患上了糖尿病,1
银屑病痒痒吗,CAIN457A2310研究（儿童重度斑块状银屑病）,0
做过心脏病手术 能不能喝咖啡,冠心病患者不宜吃咖啡吗,1
血管瘤晚餐,腹主动脉瘤手术是大手术吗,0
脉管炎是否可以注射司库奇尤单抗注射液,哪些患者禁用司库奇尤单抗,1
从腹股沟做心脏支架手术后，多久才能走路，能否上下楼梯，除了不能剧烈运动外，能否提重的东西？,心内电生理检查后多久可以下床活动,0
pier研究,REPAIR研究,0
小儿上呼吸道感染的病因是什么？,是什么原因导致小儿上呼吸道感染的？,1
心衰的临床试验,出院后心衰患者应保持怎样的随访频率？,0
雷珠单抗 新冠,雷珠单抗治疗早产儿视网膜病变药代动力学特性,0
哮喘病人应该平时怎么注意身体,为什么要对哮喘患儿进行管理？,0
糖尿病人能吃豆浆鸡蛋吗,糖尿病人养生食谱,0
早产儿感冒怎么办，时间就一个月了,早产儿现在刚一个月感冒了该怎么治疗啊？,1
雷珠单抗半衰期文献,雷珠单抗药物相互作用,0
儿童糖尿病的概念,儿童糖尿病,1
哪些药物可以和Ribociclib一起服用,可能与 Ribociclib 存在相互作用的药物有哪些,1
糖尿病遗传吗,糖尿病神经病变的治疗方法有哪些？,0
您好！有关于20ins相关的综述吗？或者是相关研究数据？可以发给我自学吗？,胰岛素自身抗体是怎么影响血糖的？,0
上呼吸道感染用什么药?,上呼道感染应该吃什么药,1
Dme指南,糖尿病性黄斑水肿概述,0
糖尿病人能吃什么坚果,糖尿病能吃坚果吗,1
临床试验结果,雷珠单抗治疗RVO-ME的有效性和安全性,1
环硅酸用法,格隆溴铵福莫特罗吸入气雾剂怎么使用？,0
高血压需要终身服药吗？140110吃,得了高血压是否终身服药？,1
高血压、青光眼应选什么药,青光眼高血压怎么用药,1
MEASURE 2研究,MEASURE 2研究,1
请问：我为什么经常感冒？,请问：我经常感冒有什么好办法吗？,1
雷珠单抗属于基药吗,雷珠单抗药理毒理信息,0
请问，糖尿病人可以吃香蕉吗,i糖尿病人能吃香蕉吗,1
做雾化后为什么会咳得更严重？,慢性咳嗽是否可以引发喉部、气管的损伤？,0
如何形成的乳腺癌,乳腺癌形成的病因是什么？,1
protocal t研究,RESTORE研究,0
004研究,对于哮喘患者，起始治疗后复诊、随访的频率？,0
平时运动会有帮助吗,为什么高血压患者运动后血压降低？,0
艾滋病人的寿命有多长,艾滋病人的寿命有多长,1
卵巢癌高级别,卵巢癌的影像学检查主要有哪些？,0
糖尿病可以吃什么主食,糖尿病人吃什么为主食,1
雷珠单抗 个体化用药,雷珠单抗个体化给药剂量,0
丙肝阳性能用生物制剂吗,伴有肝炎（乙肝、丙肝）感染风险的患者使用司库奇尤单抗的注意事项,1
糖尿病饮食方面应注意什么,糖尿病病人的饮食计算,1
使用可善挺皮损几周没有,注射部位若出现红肿、瘙痒等皮肤反应，是否会影响疗效，应如何处理,1
2022年和2023年的糖尿病ADA指南,2型糖尿病的发展阶段包括哪些？,0
肺气肿高血压胃扩张心脏病如何调理,男，60岁，有高血压和心脏病，最近眼泡肿，脸上有血丝一样的，红，是什么原因，应该怎么办,0
大补阴丸饭前服用还是饭后服用呢,大补阴丸的服用时间是饭前还是餐后,1
白血病患者可以用可善挺吗,ERASURE研究,0
倍缓应该什么时候吃,利普卓/奥拉帕利服用剂量是多少？如果漏服药物，怎么办？,0
糖尿病人能吃燕麦米粥吗,糖尿病人可以吃燕麦粥吗,1
婴儿感冒流鼻涕的治疗方法,婴儿感冒流鼻涕的有什么方法,1
慢阻肺的诊断有标准吗？,为什么说有肺气肿不需要治疗？,0
吃感冒药会影响月经推迟吗,吃感冒药能影响月经推迟吗,1
艾滋病糖尿病怎么治疗,艾滋病，还有糖尿病，我不知道怎么办老师,1
血压轻度升高怎么办血压轻度升高怎么办,血压低怎么调理,0
糖尿病运动治疗规则,运动疗法治疗糖尿病,1
"抗VEGF药物治疗pm相关指南及推荐级别 
 2",抗VEGF药物治疗DME相关指南及推荐级别,1
唐尿病用药,胰岛素泵适合什么样的患者使用?,0
一来月经就感冒是怎么回事,一来月经就感冒是咋回事,1
乳腺癌早期要做化疗吗,早期乳腺癌要做化疗吗,1
eGFR,与依那普利相比，沙库巴曲缬沙坦对肾功能不全，高钾血症和咳嗽的安全性如何？,0
肺气肿能吃什么营养品?,肺气肿能吃哪些营养品呢？,1
艾滋病按摩穴位治疗有效吗,用按摩器按摩jj会得艾滋病吗,0
心衰分类,慢性心衰中最常见的是哪种类型？,0
司库奇尤单抗复发时间,银屑病患者停用司库奇尤单抗患者是否会复发,1
糖尿病晚上睡前血糖高什么情况,"李老师您好!我是:糖尿病人,我的帐号怎么上不了啦?能帮我下吗?",0
黑色素瘤,在治疗银屑病方面，司库奇尤单抗与肿瘤坏死因子抑制剂疗效的比较,0
消化不良能不能服用百补增力丸,消化不良能吃百补增力丸吗,1
70岁得了糖尿病还能做手术吗,糖尿病打点滴能打葡萄糖吗,0
想要小孩能吃尼美舒利吗,备孕期间可以吃尼美舒利吗,1
胰岛素分泌不足可患什么？,糖尿病视力下降怎么办,0
感冒了怎么办才能好的快一些呢？,感冒用什么方法能好得快？,1
永喜盐酸多西环素肠溶胶囊最多吃多久呢,永喜盐酸多西环素肠溶胶囊药吃多少疗程，要多久？,1
糖尿病引发眼底出血怎么办?,眼底出血有糖尿病、怎么办,1
为什么糖尿病人会多尿，能从专业一点的角,我患有糖尿病，夜间尿频怎么回事？,1
乙肝患者能否使用可善挺,合并肝损害的患者使用司库奇尤单抗,1
肺力咳合剂（健兴）适合什么样的人群服用,什么样的人可以喝肺力咳合剂？,1
乙肝大三阳怎么吃最好,我有乙肝大三阳，肝功能成阳性，应该吃些什么药,0
与其它生物制剂同时使用的有限数据（度普利尤单抗、奥马珠单抗、PD-1抑制剂,是否可以与甲氨蝶呤或糖皮质激素联合使用,0
我的糖尿病该咋治,吃饭容易出汗是不是糖尿病前兆,0
腋下淋巴结肿大是艾滋病吗,我这是淋巴结肿大吗,0
硝苯地平片说明书,尼力说明书-山东力诺制药,0
前列腺癌最新指南,前列腺穿刺活检有哪些步骤？需要做什么准备？,0
Declaer相关研究数据,肝功能受损的患者是否可以使用芙仕得？,0
患糖尿病可以做手术吗,糖尿病可不可以做手术,1
结核胸膜炎引发肠梗阻可能是腹膜炎？,结核胸膜炎引发肠梗阻可能是腹膜炎如何是好？,1
诺欣妥会引起低钠吗,沙库巴曲缬沙坦对蛋白尿有何影响？ARNI对尿蛋白的影响如何？,0
43.VEGF-A和继发于病理性近视,血管内皮生长因子a和新生血管性年龄相关性黄斑变性的关系,0
阿莫西林胶囊对人有危害的吗？,阿莫西林胶囊会对人产生危害的吗？,1
《老年黄斑变性病例讨论》,新生血管性AMD患者治疗方案,0
糖尿病人血糖如何控制,血糖高到14.65怎么办,0
13价肺炎与23价肺炎怎么回事?,13价肺炎与23价肺炎都是干嘛的,1
糖尿病骨折后吃什么,糖尿病人骨折吃什么好,1
每天早上打喷嚏流鼻涕是怎么回事,每天早上打嗝是怎么回事,0
一型糖尿病能根治不能？,1型糖尿病可以被完全治好吗？,1
得了肺炎会很容易死人吗,请问肺炎这病严重嘛会死人嘛,1
诺欣妥 感染,司库奇尤单抗是否可以用于儿童银屑病患者,0
布地格福急性期可以用吗,患者使用倍择瑞令畅期间，如果出现病情恶化，该如何处理？,0
雷珠单抗与胃肠道出血,雷珠引起胃肠道出血,1
可定对肾功能有没有不良影响？患者肾功能已经受损了还可以继续服用吗,可定对肾功能是否有影响？肾功能已经受损的患者是否可以服用？,1
ADC耐药机制,食物不耐受的发病机制？,0
请问呼吸板块的文章可以丰富一点吗你,慢阻肺急性加重合并Ⅱ型呼吸衰竭患者首选的呼吸支持方式是什么？,0
纤维瘤会导致乳腺癌吗,纤维瘤跟乳腺癌有区别吗,0
妊娠糖尿病有哪些危害,妊娠期糖尿病的夕危害,1
服用他汀类药物多久查肝功,肝功能不全的患者服用波依定应注意些什么？,0
哮喘病适合做什么样的运动？,慢性心衰患者可以进行哪些有氧运动？,0
114.雷珠单抗联合PRP治疗PDR的有效性和安全性,非增生期糖尿病视网膜病变的干预指南,0
结核胸膜炎消炎一星期会有好转吗,结核胸膜炎消炎一星期能不能好转,1
斯坦-勒旺塔怎么调理,亚健康调理方法,0
哮喘病是否能治愈？,对于哮喘患者，什么情况下进行升级治疗？,0
支原体肺炎打点滴好还是吃药效果好？,支原体肺炎打点滴和吃药哪个更管用？,1
我这几天感冒喉咙痛可以吃感冒胶囊吗,感冒喉咙痛吃感冒胶囊有用吗,1
糖尿病并发症有哪些?,糖尿病人会有什么并发症,1
T-spot检查阳性可以使用可善挺吗,一图读懂｜合并结核的银屑病患者如何选用生物制剂,1
立普妥禁忌,水样便有什么禁忌,0
乳腺癌肺部转移的几率有多少,请问乳腺癌转移到肺部有没有什么,0
妊娠糖尿病能吃燕窝吗,深海鱼油治糖尿病吗,0
read3,READ-3研究,1
罗红霉素和头孢是不是可以消炎的呢,头孢和罗红霉素属于消炎药吗？,1
诺欣妥的用法用量,ACEI类药物换用沙库巴曲缬沙坦为什么经过36小时洗脱期,0
小孩肺炎饮食需要注意哪些?,孩子得肺炎饮食上要注意什么事？,1
哮喘发作时有什么特效药吗,治疗慢性咳嗽的中枢性镇咳药的代表药物有哪些？,0
做胃镜需要注意什么,abc-001研究中受试者终止研究治疗的标准是什么,0
艾滋病的血常规正常吗,艾滋病的话血常规还会正常吗,1
肾透析影响诺欣妥药物吸收吗,沙库巴曲缬沙坦的利钠利尿机制是什么？,0
带避孕套会感染艾滋吗,我问一问一个有艾滋病的人和一个没艾滋病的人上床，他们带了避孕套，会传染吗,1
高血压心脏病怎么办,高血压心脏病怎么治疗？谢谢各位医生了,1
咳嗽3个月了，可能是变异性哮喘吗,咳嗽3个月了，如何判断是不是变异性哮喘,1
200mg诺欣妥缬沙坦含量,沙库巴曲缬沙坦对收缩压和舒张压有什么影响？,0
心血管事件,眼部抗VEGF治疗药物有哪些,0
只咳嗽，不喘是不是咳嗽变异性哮喘,只咳嗽，不喘能确认是咳嗽变异性哮喘吗,1
糖尿病酮中毒有什么症状,糖尿病酮症酸中毒有什么症状？,1
罗沙司他机制,波依定治疗高血压的机理是什么?,0
哮喘要注意什么,哮喘患儿发热时如何选择解热镇痛药？,0
雷珠单抗产品特性与眼内炎风险,雷珠单抗发生眼内炎风险,1
硝苯地平片说明书,二甲双胍格列本脲片说明书-吉林省华威药业,0
乳腺囊肿会不会变成乳腺癌呢,刚查出来乳腺囊肿会不会变成乳腺癌,1
糖尿病怎样保护肝肾,糖尿病人怎样保护肝肾,1
心衰用法,患者在使用沙库巴曲缬沙坦期间如果出现急性/恶化心衰应如何治疗？,0
上呼吸道感染 一到下午头痛加重怎么办？,上呼吸道感染一到下午头痛加重是什么原因？,0
诺欣妥药代动力学,分解沙库巴曲缬沙坦的特异性酯酶是什么？,0
雷珠单抗共识,雷珠单抗用于计划白内障手术的DME患者,0
他汀是什么,我能用利普卓/奥拉帕利吗？,0
银屑病发病机制,IL-17A和斑块状银屑病的关系,0
过敏性哮喘的治疗方法是什么?,过敏性哮喘的是怎样治疗的,1
糖尿病的人能吃什么蔬菜,糖尿病患者宜吃哪些蔬菜，水果呢？,1
糖尿病肺部感染怎么办？,治疗糖尿病的中药有什么,0
艾滋病主要通过什么途径传播,我想问一下艾滋病的传播途径，是不是你说那5点都会都会传播。谢谢,1
3岁小孩肺炎症状是怎样的?,幼儿肺炎的发病表现是什么,1
利倍卓 消化道出血能否使用,停用布地格福吸入气雾剂，再次使用前需要注意什么？,0
糖尿病是否无法根治,糖尿病可不可以根治呢?,1
手术后多久可以使用可善挺,围手术期能否继续使用司库奇尤单抗治疗,0
@25984983824893508运动能否逆转高血压,高血压病患者如何正确运动,0
做过心脏病手术 能不能喝咖啡,高血压能喝咖啡吗,0
注射乙肝疫苗有效期,一般成人接种乙肝疫苗多久可以产生抗体呢,0
乳腺癌严重吗,乳腺癌严重吗,1
得了咳嗽变异性哮喘，怎么治疗,得了咳嗽变异性哮喘如何治疗,1
用什么药物可以治疗过敏性哮喘..,可以治疗过敏性哮喘的药物有什么？,1
上呼吸道感染引起肺部感染怎么办啊？,上呼吸道感染引起肺部感染该如何治疗？,1
AS,IL-17A和强直性脊柱炎的关系,0
乳腺癌早期有可能有哪些症状,患上乳腺癌早期症状有哪些？,1
乳腺癌脑转移做伽玛刀手术危险大吗,乳腺癌转移己经做了手术，还要化辽吗？,0
乳腺增生和乳腺癌有什么区别,乳腺增生和乳腺癌的区别,1
请问肺气肿属于什么类型的疾病？,肺气肿是哪种疾病？,1
乳腺增生是乳腺癌的前兆吗,乳质增生是乳腺癌的前兆吗?,1
雷珠单抗药物药物相互作用,雷珠单抗与哪些药不能合用,1
吸入信必可都保会引起人体皮质醇下降吗？,信必可都保有哪些规格？,0
硝苯地平说明书,来适可说明书-北京诺华制药,0
乙肝患者转氨酶升高怎么治疗,乙肝转阴酶升高应怎么治疗,1
乳腺癌晚期还能活多久呢,咨询乳腺癌晚期能活多久？,1
可善挺复发,司库奇尤单抗治疗头皮银屑病的疗效,0
请问过敏性哮喘是怎么引起的呢?,请问过敏性哮喘是怎样得的,1
孕妇感冒喝姜汤红糖水行吗,怀孕3个月妈妈感冒能喝姜汤红糖水吗,1
请问老年人慢支肺气肿怎么治疗？,怎样治疗老年人的慢支肺气肿,1
感冒不停打喷嚏应该怎么办,感冒打喷嚏该怎么办呢？,1
奥希替尼药物对比,布地格福吸入气雾剂包括哪些成分？,0
covid,司库奇尤单抗治疗过程中可同时接种新冠疫苗吗,0
乙肝疫苗对胎儿会不会有影响,多打了乙肝疫苗对宝宝有没有影响,1
心梗脑梗病人可以喝饮料吗,心血管病人吃什么食物好,0
硝苯地平说明书,注射用前列地尔说明书-北京赛升药业股份,0
肺气肿患者为什么容易气短?,肺气肿患者容易气短的原因是什么?,1
雷珠单抗 糖尿病黄斑水肿的预防,雷珠单抗用于糖尿病性视网膜病变患者白内障术后DME的预防,1
服用肺力咳胶囊还需要服用消炎药吗,请问服用肺力咳胶囊还需要服用消炎药吗,1
宝宝流黄色的粘稠鼻涕怎么办,宝宝流黄色的粘稠鼻涕有什么办法,1
国家提供免费检测HIV服务吗,艾滋病可以免费治疗吗,0
你家小孩子得了支原体肺炎怎么办？,你家小孩子得了支原体肺炎该怎么做？,1
玻璃腔注药专家共识,玻璃体腔注射消毒要求,0
肾结石和高血压有关系吗,高血压和肾结石有关系吗？,1
DME是啥,糖尿病视网膜病变黄斑水肿的眼底特点,0
糖尿病病人怎么来降低血糖,轻微糖尿病怎么控制降低血糖,0
打呼噜和糖尿病有什么关系？,打呼噜和糖尿病有关系么足部,1
雷珠单抗个体化给药剂量,雷珠单抗个体化用药方法,1
患高血压吃药能怀孕吗,妊娠期高血压的诊断与治疗,0
胰岛素费用多少,糖尿病人注射胰岛素，大概费用时多少？？？？？,1
沙库巴曲可以和尤瑞克林一起用吗,沙库巴曲缬沙坦和西地那非可以同时使用吗？,0
小孩上呼吸道感染咳嗽吃什么药,小孩上呼道感染需要吃什么药,1
口jiao会感染艾滋病吗,前些天我找朋友无套口交会传染艾滋病吗,1
中国心力衰竭患者高钾血症管理专家共识,钠葡萄糖共转运蛋白2(SGLT-2)抑制剂是什么药？为什么可以治疗心衰？,0
服用伊龙清热解毒口服液后皮肤会发红的吗,伊龙清热解毒口服液有没有需要忌口的,0
如果感染到了艾滋病，什么时候会出现症状,在感染艾滋病病毒后。什么时候出现症状窗,1
信必可使用后手抖,信必可都保使用剂量是多少？,0
什么算是高血压,高血压患者为什么要做动态血压检查？,0
怀孕四个月感冒了能吃药吗？,怀孕四个月感冒了能否吃药？,1
老年糖尿病诊治指南,多少岁的糖尿病病人要注意认知障碍筛查？,0
哮喘药物的各种使用方法,哮喘缓解药物有哪几类,0
乳腺增生和乳腺癌有什么区别,乳腺增生和乳腺癌的区别是什么,1
请问肺气肿能办慢性病门诊治疗吗？,肺气肿怎么治疗最好？,0
柚子皮能治愈乙肝,柚子皮泡水能不能治乙肝,1
二型糖尿病能吃伟哥吗,糖尿病可以服用伟哥吗,1
司库奇尤单抗与乌司努单抗,司库奇尤单抗与乌司奴单抗疗效的比较,0
飞秒,雷珠单抗联合激光光凝术治疗,0
肺气肿两肺肺大泡怎么治疗,要怎么医治肺气肿两肺肺大泡？,1
奥希替尼在IIIc期患者的临床研究,乳腺癌的5年生存率是多少？,0
您那里能帮忙找下研究安达唐关于降低内脏脂肪的文章吗，最好文章影响因子高一些的,降低血脂应以哪个指标为首要目标？,0
你好，高血压脑出血上什么意思？严重吗？,大夫你好，请问高血压三级是什么意思？,0
什么是艾滋病,艾滋病是什么艾滋病是什么艾滋病是什么,1
高血压致中风偏瘫怎么治,高血压冠心病怎么办,0
乳腺癌淋巴转移怎么治疗,乳腺癌淋巴转移的治疗,1
司库奇尤单抗建议保存温度,司库奇尤单抗使用的贮存条件和有效期,1
您好我总是反复的胸口疼然后就后面左边疼是怎么了,胸膜炎有哪些治疗方法？,0
过敏性鼻炎,AR对哮喘有什么影响,0
HF怎么治疗,心力衰竭的诱因有哪些？,0
乳腺癌手术后一定要化疗吗,乳腺癌手术一定要化疗吗？,1
糖尿病患者便秘怎么办,糖尿病人严重便秘怎莫解决,1
常规哮喘药多久一个疗程,哮喘患者可以停药吗？,0
糖尿病会导致不能行走吗,糖尿病会导致行走困难吗,1
这样会感染hiv吗,口交能感染hiv吗,0
沙库巴曲缬沙坦可以用于射血分数保留的心衰患者吗？,沙库巴曲缬沙坦可以用于射血分数中间值的心衰患者吗？,0
打玻尿酸，与可善挺有影响吗,司库奇尤单抗使用的注射部位,0
修正阿莫西林胶囊多少钱一盒？,修正阿莫西林胶囊用量是多少,0
支原体肺炎阿奇霉素扎了7天停药3天又,支原体肺炎阿奇霉素扎了7天停药3天会怎么样？,1
小儿支原体肺炎，需要如何治疗?,小儿支原体肺炎怎么确诊？,0
慢阻肺的分级,AECOPD是什么？,0
2岁孩子肺炎需要治疗多久,2岁孩子肺炎治好要多久,1
高血脂能喝茶嘛,血脂高能喝牛奶吗,0
糖尿病人怎么减肥,问一下糖尿病人如何减肥？,1
cabg患者,冠心病要做搭桥手术能根治吗,0
沙库巴曲缬沙坦的洗脱期,ACEI类药物换用沙库巴曲缬沙坦为什么经过36小时洗脱期,0
雷珠单抗脑梗的使用,雷珠单抗使用禁忌,0
新冠患者用药,合并结核/潜伏性结核的患者使用司库奇尤单抗的注意事项,0
高血压可以吃血糯米吗？,请问高血压的人能吃核桃吗,0
小儿支原体肺炎会引发脑炎吗？,小儿支原体肺炎会造成脑炎吗？,1
支原体衣原体尿道炎用罗红霉素怎么样,罗红霉素对支原体衣原体尿道炎有效果吗,1
孕妇感冒可以喝小柴胡颗粒吗,小柴胡颗粒禁忌孕妇,0
空腹血糖,什么是空腹血糖,1
GAIN研究,CAIN457A2310研究（儿童重度斑块状银屑病）,0
PDR合并DME,糖尿病黄斑水肿概述,0
足道泡脚治疗糖尿病吗,泡脚可以治疗糖尿病吗,1
怎么注射可善挺,司库奇尤单抗使用的注射部位,1
5+Prn,雷珠单抗药物相互作用,0
患有支原体肺炎现在反复发作咳嗽严重怎么办,患有支原体肺炎现在反复发作咳嗽严重如何是好？,1
哮喘每天都要吃药吗？,缓解轻至中度哮喘急性症状的首选药物是什么？,0
雷珠单抗 观察和计划治疗,等待和延长治疗方案,0
为什么有哮喘,哮喘的常见诱发因素？,1
对于当前未服用或服用低剂量ACEI或ARB的患者，该如何起始和滴定沙库巴曲缬沙坦,ARNI在指南中的推荐,0
过敏性哮喘与变异性哮喘的区别,怎么确诊是变异性咳嗽,0
宝宝出生第三天才打第一针乙肝疫苗可以吗,宝宝的第二针疫苗能不能过3个月在打,1
安达唐的优势,安达唐（达格列净）可以治疗哪些疾病？,0
雷珠单抗用于糖尿病黄斑水肿（DME）高于批准剂量的用药方案,雷珠单抗用于糖尿病黄斑水肿超剂量用药方案,1
肺鳞癌egfr突变概率,高血压患者要做肾脏彩超吗？,0
新冠疫苗接种与司库奇尤单抗如何间隔,司库奇尤单抗治疗过程中可同时接种新冠疫苗吗,1
请问肺气肿复发怎么办？,肺气肿反反复复怎么办?,1
可定的主要成分,安立格主要成份是什么？,0
干细胞治疗糖尿病的费用是多少钱,糖尿病生活馆怎么运作,0
二型糖尿病怎样治疗,糖尿病如何治疗为好,1
糖尿病人打的胰岛素有副作用吗？！,胰岛素对糖尿病有什么副作用？,1
治哮喘到北京德胜门中医院怎么样,北京德胜门中医院治疗哮喘病好不好？,1
应答不佳,RVO-ME患者应答不佳及换药临床研究数据,1
波依定有什么不良反应,服用波依定会出现哪些不良反应？出现后该如何处理？,1
变异性哮喘，是由什么原因造成的,变异性哮喘是怎么引发的？,1
